Tier,FICO,Term,Amount,Previous_Rate,Competition_rate,Rate,Cost_Funds,Partner Bin,Car_Type_N,Car_Type_R,Car_Type_U,Accept
1,783,36,16378,0,3.69,3.69,1.12,1,1,0,0,0
2,711,48,28322,0,5.49,4.89,1.82,1,1,0,0,0
1,773,36,9500,0,3.99,3.99,1.11,3,1,0,0,0
1,743,72,24078,5,6.09,4.69,1.11,1,0,1,0,0
1,762,72,14999.99,0,5.75,5.69,1.1463,3,0,0,1,0
1,769,48,75000,0,4.85,4.85,1.1,1,0,0,1,0
2,729,48,17300,5,4.89,6.59,1.09,2,0,1,0,0
1,774,60,43000,0,5.24,4.85,1.8,3,1,0,0,0
1,738,60,27000,0,4.89,4.69,1.38,3,1,0,0,0
1,794,60,25500,0,4.79,4.79,1.84,2,0,0,1,0
3,677,48,16000,0,5.05,8.35,1.36,1,0,0,1,0
1,748,60,35000,0,3.99,3.99,1.1,3,1,0,0,0
3,718,60,64000,0,4.49,8.25,1.39,1,1,0,0,1
2,722,60,22000,0,4.39,4.49,1.3181,3,1,0,0,0
1,711,60,30000,0,5.05,5.05,1.42,2,0,0,1,0
1,752,60,24000,0,4.39,4.39,1.858,2,1,0,0,0
1,752,36,17000,0,4.25,4.25,1.1,1,0,0,1,0
3,677,60,40000,0,3.99,6.09,1.09,1,1,0,0,0
1,743,60,45000,0,4.79,4.79,2.07,3,0,0,1,0
1,740,60,16499.99,0,4.79,4.79,1.91,1,0,0,1,1
2,715,60,35000,0,4.85,5.89,1.1,2,0,0,1,0
4,659,60,20000,0,4.59,10.85,1.5738,3,1,0,0,0
1,806,36,23663,0,4.4,4.39,1.4175,1,1,0,0,0
2,713,60,28000,0,4.89,4.49,1.34,3,1,0,0,0
3,685,60,18500,0,4.49,5.15,1.31,1,1,0,0,0
1,737,72,45000,0,5.19,5.15,1.11,3,1,0,0,0
1,731,60,17001,7,5.49,5.49,1.6,1,0,1,0,0
1,743,36,28000,0,3.99,3.99,1.115,3,1,0,0,0
1,740,60,22380,8,4.95,4.95,1.12,1,0,1,0,1
2,704,60,30148,0,4.49,4.35,1.31,3,1,0,0,0
3,678,66,22808,10,5.85,8.04,1.11,3,0,1,0,0
1,742,72,15000,0,5.15,5.15,1.09,2,0,0,1,0
3,694,60,21000,0,3.99,6.09,1.09,3,1,0,0,0
2,718,48,16000,8,5.55,6.78,2.127,2,0,1,0,0
3,677,36,17500,0,4.75,6.14,1.8,3,1,0,0,0
1,740,60,35000,0,4.99,4.49,1.42,2,1,0,0,0
1,765,60,18029,0,4.39,4.39,1.09,1,0,0,1,0
3,687,36,13961.1,7,4.99,6.39,1.828,2,0,1,0,1
1,759,48,22000,0,4.49,4.49,1.11,3,1,0,0,0
1,779,36,35000,0,3.75,3.99,1.11,1,1,0,0,0
2,703,48,23000,0,4.49,6.39,1.74,1,1,0,0,0
1,798,36,35000,0,3.65,3.65,1.1,1,1,0,0,0
1,778,60,45000,0,5.49,4.85,1.81,1,1,0,0,0
1,749,60,24500,0,4.49,4.49,1.11,1,1,0,0,0
1,773,36,7281,7,4.39,4.39,1.1,3,0,1,0,0
2,717,36,8809,9,4.95,7.79,1.34,3,0,1,0,0
2,706,60,30000,0,4.85,5.89,1.1,2,0,0,1,0
2,668,60,36000,0,3.85,5.79,1.1,1,1,0,0,0
2,675,36,13792,8,4.45,6.39,1.09,1,0,1,0,0
1,775,60,21000,0,3.99,3.99,1.1,3,1,0,0,0
1,752,60,16000,0,4.19,4.19,1.1,1,1,0,0,1
1,771,36,22500,0,3.99,3.99,1.3388,3,1,0,0,0
2,721,48,32000,0,4.99,4.99,1.4338,2,1,0,0,0
4,657,72,15498,18,6.09,8.59,1.11,3,0,1,0,1
3,673,60,31000,0,5.05,8.35,1.42,3,0,0,1,0
3,692,72,21760,0,4.99,6.29,1.11,3,1,0,0,0
4,642,72,19700,0,5.19,7.99,1.12,3,1,0,0,0
3,699,60,15000,7,5.09,6.43,1.1,2,0,1,0,0
1,738,72,23167,0,5.65,5.39,1.34,1,1,0,0,0
1,781,60,40000,0,4.49,4.39,1.34,3,1,0,0,0
3,689,60,14999.99,0,4.39,6.19,1.1,1,0,0,1,1
1,796,48,22104,0,4.49,4.09,1.3038,3,1,0,0,0
1,708,72,28300,4,5.99,4.25,1.12,2,0,1,0,1
3,673,60,32820,6,5.49,6.39,2.091,1,0,1,0,0
1,796,36,35000,0,4.39,4.39,1.34,3,1,0,0,0
1,786,60,29031,0,4.99,4.98,1.8288,1,1,0,0,0
1,771,60,30000,0,4.29,4.29,1.31,1,1,0,0,0
1,816,36,14993.35,0,3.75,2.99,1.65,1,1,0,0,1
1,733,48,22000,0,4.99,4.89,1.74,3,1,0,0,0
4,668,60,36000,0,3.99,8.09,1.09,2,1,0,0,0
1,782,48,22000,0,3.85,3.85,1.09,3,1,0,0,0
2,717,60,35000,0,4.49,6.29,1.45,1,1,0,0,0
1,757,48,34000,0,4.39,4.39,1.889,1,1,0,0,0
1,743,60,13643.58,0,4.69,4.39,1.3175,3,0,0,1,1
1,750,60,20300,6,4.75,4.75,1.1031,3,0,1,0,0
1,809,60,40000,0,3.85,3.85,1.09,3,1,0,0,0
2,728,36,16300,7,4.39,6.44,1.18,3,0,1,0,0
1,775,66,24000,0,5.39,4.99,1.31,1,1,0,0,0
1,785,60,27830,0,5.49,5.48,1.84,3,1,0,0,0
1,752,48,23000,0,5.49,5.39,1.84,3,1,0,0,0
1,754,60,35000,5,5.49,4.75,1.858,2,0,1,0,1
1,767,60,30000,0,4.89,4.09,1.34,3,1,0,0,0
1,794,72,33370,0,5.65,5.39,1.34,3,1,0,0,0
1,747,60,29500,0,3.99,3.99,1.12,1,1,0,0,0
2,711,36,12861,7,4.25,5.53,1.12,3,0,1,0,0
3,677,36,9961,13,4.99,7.54,1.11,1,0,1,0,0
1,735,60,25245,4,5.19,4.75,1.0988,1,0,1,0,0
1,829,36,30000,0,2.99,2.99,1.6,1,1,0,0,1
2,727,48,44000,0,4.99,4.69,1.69,1,1,0,0,0
4,658,72,19982.36,0,5.59,7.99,1.12,1,0,0,1,1
3,659,48,16707.87,0,4.75,7.04,1.1,3,0,0,1,1
1,789,48,24000,0,4.29,4.25,1.31,1,1,0,0,0
1,764,60,20491.11,0,5.4,4.64,1.38,1,0,0,1,1
2,708,60,26874,0,4.29,4.29,1.3188,3,1,0,0,1
