V1,V2,V3,V4,V5,Target
2.0,50.0,12500.0,98.0,NEGATIVE,YES
0.0,13.0,3250.0,28.0,NEGATIVE,YES
?,?,4000.0,35.0,NEGATIVE,YES
?,20.0,5000.0,45.0,NEGATIVE,YES
1.0,24.0,6000.0,77.0,NEGATIVE,NO
4.0,?,1000.0,4.0,NEGATIVE,NO
2.0,?,1750.0,14.0,NEGATIVE,YES
?,12.0,3000.0,35.0,NEGATIVE,NO
2.0,9.0,2250.0,22.0,NEGATIVE,YES
5.0,46.0,11500.0,98.0,NEGATIVE,YES
4.0,?,5750.0,58.0,NEGATIVE,NO
?,3.0,750.0,4.0,NEGATIVE,NO
2.0,10.0,2500.0,28.0,NEGATIVE,YES
1.0,13.0,3250.0,47.0,NEGATIVE,NO
2.0,6.0,1500.0,15.0,NEGATIVE,YES
2.0,5.0,1250.0,11.0,NEGATIVE,YES
?,14.0,3500.0,48.0,NEGATIVE,YES
2.0,?,3750.0,49.0,NEGATIVE,YES
2.0,6.0,1500.0,15.0,NEGATIVE,YES
2.0,3.0,750.0,4.0,NEGATIVE,YES
2.0,3.0,750.0,4.0,NEGATIVE,YES
4.0,11.0,2750.0,28.0,NEGATIVE,NO
2.0,6.0,1500.0,16.0,NEGATIVE,YES
2.0,6.0,1500.0,16.0,NEGATIVE,YES
9.0,9.0,2250.0,16.0,NEGATIVE,NO
4.0,14.0,3500.0,40.0,NEGATIVE,NO
4.0,6.0,1500.0,14.0,NEGATIVE,NO
4.0,12.0,3000.0,34.0,NEGATIVE,YES
4.0,5.0,1250.0,11.0,NEGATIVE,YES
4.0,8.0,2000.0,21.0,NEGATIVE,NO
1.0,14.0,3500.0,58.0,NEGATIVE,NO
4.0,10.0,2500.0,28.0,NEGATIVE,YES
4.0,10.0,2500.0,28.0,NEGATIVE,YES
4.0,9.0,2250.0,26.0,NEGATIVE,YES
2.0,16.0,4000.0,64.0,NEGATIVE,NO
2.0,8.0,2000.0,28.0,NEGATIVE,YES
2.0,12.0,3000.0,47.0,NEGATIVE,YES
4.0,6.0,1500.0,16.0,NEGATIVE,YES
2.0,14.0,3500.0,57.0,NEGATIVE,YES
4.0,7.0,1750.0,22.0,NEGATIVE,YES
2.0,13.0,3250.0,53.0,NEGATIVE,YES
2.0,5.0,1250.0,16.0,NEGATIVE,NO
2.0,5.0,1250.0,16.0,NEGATIVE,YES
2.0,5.0,1250.0,16.0,NEGATIVE,NO
4.0,20.0,5000.0,69.0,NEGATIVE,YES
4.0,9.0,2250.0,28.0,NEGATIVE,YES
2.0,9.0,2250.0,36.0,NEGATIVE,NO
2.0,2.0,500.0,2.0,NEGATIVE,NO
2.0,2.0,500.0,2.0,NEGATIVE,NO
2.0,2.0,500.0,2.0,NEGATIVE,NO
2.0,11.0,2750.0,46.0,NEGATIVE,NO
2.0,11.0,2750.0,46.0,NEGATIVE,YES
2.0,6.0,1500.0,22.0,NEGATIVE,NO
2.0,12.0,3000.0,52.0,NEGATIVE,NO
4.0,5.0,1250.0,14.0,NEGATIVE,YES
4.0,19.0,4750.0,69.0,NEGATIVE,YES
4.0,8.0,2000.0,26.0,NEGATIVE,YES
2.0,7.0,1750.0,28.0,NEGATIVE,YES
2.0,16.0,4000.0,81.0,NEGATIVE,NO
3.0,6.0,1500.0,21.0,NEGATIVE,NO
2.0,7.0,1750.0,29.0,NEGATIVE,NO
2.0,8.0,2000.0,35.0,NEGATIVE,YES
2.0,10.0,2500.0,49.0,NEGATIVE,NO
4.0,5.0,1250.0,16.0,NEGATIVE,YES
2.0,3.0,750.0,9.0,NEGATIVE,YES
3.0,16.0,4000.0,74.0,NEGATIVE,NO
2.0,4.0,1000.0,14.0,NEGATIVE,YES
0.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,7.0,1750.0,25.0,NEGATIVE,NO
1.0,9.0,2250.0,51.0,NEGATIVE,NO
2.0,4.0,1000.0,16.0,NEGATIVE,NO
2.0,4.0,1000.0,16.0,NEGATIVE,NO
4.0,17.0,4250.0,71.0,NEGATIVE,YES
2.0,2.0,500.0,4.0,NEGATIVE,NO
2.0,2.0,500.0,4.0,NEGATIVE,YES
2.0,2.0,500.0,4.0,NEGATIVE,YES
2.0,4.0,1000.0,16.0,NEGATIVE,YES
2.0,2.0,500.0,4.0,NEGATIVE,NO
2.0,2.0,500.0,4.0,NEGATIVE,NO
2.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,6.0,1500.0,23.0,NEGATIVE,YES
2.0,4.0,1000.0,16.0,NEGATIVE,NO
2.0,4.0,1000.0,16.0,NEGATIVE,NO
2.0,4.0,1000.0,16.0,NEGATIVE,NO
2.0,6.0,1500.0,28.0,NEGATIVE,YES
2.0,6.0,1500.0,28.0,NEGATIVE,NO
4.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,2.0,500.0,4.0,NEGATIVE,NO
2.0,7.0,1750.0,35.0,NEGATIVE,YES
4.0,2.0,500.0,4.0,NEGATIVE,YES
4.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,2.0,500.0,4.0,NEGATIVE,NO
4.0,2.0,500.0,4.0,NEGATIVE,NO
12.0,11.0,2750.0,23.0,NEGATIVE,NO
4.0,7.0,1750.0,28.0,NEGATIVE,NO
3.0,17.0,4250.0,86.0,NEGATIVE,NO
4.0,9.0,2250.0,38.0,NEGATIVE,YES
4.0,4.0,1000.0,14.0,NEGATIVE,YES
5.0,7.0,1750.0,26.0,NEGATIVE,YES
4.0,8.0,2000.0,34.0,NEGATIVE,YES
2.0,13.0,3250.0,76.0,NEGATIVE,YES
4.0,9.0,2250.0,40.0,NEGATIVE,NO
2.0,5.0,1250.0,26.0,NEGATIVE,NO
2.0,5.0,1250.0,26.0,NEGATIVE,NO
6.0,17.0,4250.0,70.0,NEGATIVE,NO
0.0,8.0,2000.0,59.0,NEGATIVE,NO
3.0,5.0,1250.0,26.0,NEGATIVE,NO
2.0,3.0,750.0,14.0,NEGATIVE,NO
2.0,10.0,2500.0,64.0,NEGATIVE,NO
