status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Column1,Column2,Column3,Column4
1,video,4/22/2018 6:00,529,512,262,432,92,3,1,1,0,,,,
2,photo,4/21/2018 22:45,150,0,0,150,0,0,0,0,0,,,,
3,video,4/21/2018 6:17,227,236,57,204,21,1,1,0,0,,,,
4,photo,4/21/2018 2:29,111,0,0,111,0,0,0,0,0,,,,
5,photo,4/18/2018 3:22,213,0,0,204,9,0,0,0,0,,,,
6,photo,4/18/2018 2:14,217,6,0,211,5,1,0,0,0,,,,
7,video,4/18/2018 0:24,503,614,72,418,70,10,2,0,3,,,,
8,video,4/17/2018 7:42,295,453,53,260,32,1,1,0,1,,,,
9,photo,4/17/2018 3:33,203,1,0,198,5,0,0,0,0,,,,
10,photo,4/11/2018 4:53,170,9,1,167,3,0,0,0,0,,,,
11,photo,4/10/2018 1:01,210,2,3,202,7,1,0,0,0,,,,
12,photo,4/9/2018 2:06,222,4,0,213,5,4,0,0,0,,,,
13,photo,4/8/2018 5:10,313,4,2,305,6,2,0,0,0,,,,
14,photo,4/8/2018 2:23,209,4,0,200,8,1,0,0,0,,,,
15,photo,4/5/2018 9:23,346,11,0,335,10,1,0,0,0,,,,
16,video,4/1/2018 5:16,332,100,30,303,23,1,5,0,0,,,,
17,video,3/30/2018 8:28,135,256,79,117,18,0,0,0,0,,,,
18,video,3/26/2018 8:28,150,173,47,132,16,1,0,1,0,,,,
19,video,3/23/2018 7:09,221,166,36,192,28,0,1,0,0,,,,
20,photo,3/22/2018 1:25,152,2,0,149,3,0,0,0,0,,,,
21,photo,3/21/2018 8:40,234,15,1,221,12,1,0,0,0,,,,
22,photo,3/21/2018 7:46,227,7,1,217,7,2,1,0,0,,,,
23,photo,3/20/2018 1:54,98,0,0,96,0,2,0,0,0,,,,
24,video,3/20/2018 1:28,18,0,0,18,0,0,0,0,0,,,,
25,photo,3/20/2018 0:15,102,0,0,100,0,2,0,0,0,,,,
26,video,3/19/2018 22:34,37,0,1,37,0,0,0,0,0,,,,
27,video,3/17/2018 8:07,75,36,14,70,5,0,0,0,0,,,,
28,video,3/17/2018 7:47,90,78,9,85,5,0,0,0,0,,,,
29,photo,3/12/2018 5:51,145,9,0,138,7,0,0,0,0,,,,
30,video,3/9/2018 7:45,253,300,31,229,22,1,1,0,0,,,,
31,photo,3/9/2018 5:55,85,0,0,81,2,2,0,0,0,,,,
32,video,3/7/2018 13:10,45,14,0,40,5,0,0,0,0,,,,
33,photo,3/7/2018 6:13,92,0,0,85,4,2,1,0,0,,,,
34,photo,3/7/2018 4:46,125,1,0,116,8,1,0,0,0,,,,
35,photo,3/5/2018 8:32,119,4,0,116,3,0,0,0,0,,,,
36,photo,3/5/2018 2:48,293,8,0,281,11,1,0,0,0,,,,
37,video,3/2/2018 9:55,128,137,26,110,16,2,0,0,0,,,,
38,photo,2/28/2018 8:19,84,15,13,78,5,1,0,0,0,,,,
39,photo,2/28/2018 1:43,66,11,6,61,4,1,0,0,0,,,,
40,video,2/26/2018 8:50,171,292,28,150,19,1,1,0,0,,,,
41,video,2/25/2018 10:13,90,72,23,79,10,1,0,0,0,,,,
42,video,2/21/2018 0:19,139,39,9,121,16,1,1,0,0,,,,
43,video,2/19/2018 0:11,236,181,21,201,33,0,1,0,1,,,,
44,video,2/18/2018 7:15,225,210,34,193,30,0,2,0,0,,,,
45,photo,2/17/2018 22:30,275,12,0,260,11,4,0,0,0,,,,
46,video,2/17/2018 4:15,372,456,37,334,31,1,1,1,4,,,,
47,photo,2/15/2018 3:47,445,9,0,419,23,3,0,0,0,,,,
48,video,2/14/2018 8:23,128,60,11,114,13,0,0,0,1,,,,
49,video,2/13/2018 1:16,186,235,46,163,19,0,3,0,1,,,,
50,video,2/12/2018 3:28,309,444,36,254,42,2,8,3,0,,,,
51,photo,2/11/2018 5:55,77,11,3,75,2,0,0,0,0,,,,
52,video,2/10/2018 7:54,119,72,28,103,16,0,0,0,0,,,,
53,photo,2/9/2018 1:48,100,21,13,95,5,0,0,0,0,,,,
54,video,2/8/2018 9:14,240,255,111,193,44,1,1,0,1,,,,
55,video,2/7/2018 8:35,164,136,48,146,15,2,0,1,0,,,,
56,video,2/6/2018 8:46,202,327,42,171,30,1,0,0,0,,,,
57,video,2/5/2018 9:20,211,284,46,186,25,0,0,0,0,,,,
58,video,2/4/2018 3:25,148,114,16,136,10,0,2,0,0,,,,
59,video,2/3/2018 8:34,97,81,16,84,13,0,0,0,0,,,,
60,video,2/2/2018 9:24,279,292,34,254,20,3,1,1,0,,,,
61,photo,2/2/2018 7:08,263,8,0,245,14,4,0,0,0,,,,
62,video,2/2/2018 6:01,177,193,34,151,25,1,0,0,0,,,,
63,photo,1/28/2018 7:50,517,32,1,484,26,7,0,0,0,,,,
64,video,1/28/2018 5:25,289,258,33,256,33,0,0,0,0,,,,
65,photo,1/26/2018 13:03,66,13,0,65,1,0,0,0,0,,,,
66,photo,1/26/2018 13:02,112,6,0,104,8,0,0,0,0,,,,
67,video,1/26/2018 8:47,206,259,48,181,22,1,2,0,0,,,,
